filename,width,height,class,xmin,ymin,xmax,ymax
20200219_090932.jpg,567,1008,Jug,191,361,366,507
20200219_090937.jpg,567,1008,Jug,149,320,403,501
20200219_090937.jpg,567,1008,Hand Start,243,524,303,585
20200219_090946.jpg,567,1008,Jug,119,118,253,244
20200219_090946.jpg,567,1008,Jug,439,340,543,425
20200219_090946.jpg,567,1008,Jug,162,561,262,634
20200219_090946.jpg,567,1008,Jug,447,727,549,806
20200219_090946.jpg,567,1008,Jug,173,946,262,1008
20200219_090946.jpg,567,1008,Hand Start,201,635,229,665
20200219_090946.jpg,567,1008,Hand Start,475,811,504,838
20200219_091004.jpg,567,1008,Jug,192,322,287,414
20200219_091004.jpg,567,1008,Jug,505,98,567,205
20200219_091004.jpg,567,1008,Pinch,1,560,120,763
20200219_091004.jpg,567,1008,Sloper,476,927,567,1007
20200219_091006.jpg,567,1008,Jug,301,209,359,273
20200219_091006.jpg,567,1008,Jug,96,344,164,403
20200219_091006.jpg,567,1008,Jug,373,589,483,699
20200219_091006.jpg,567,1008,Pinch,1,536,53,625
20200219_091006.jpg,567,1008,Sloper,260,717,347,819
20200219_091015.jpg,567,1008,Pinch,248,44,395,157
20200219_091015.jpg,567,1008,Jug,341,210,449,321
20200219_091015.jpg,567,1008,Jug,200,404,295,496
20200219_091015.jpg,567,1008,Jug,431,586,539,669
20200219_091015.jpg,567,1008,Jug,204,812,322,928
20200219_091022.jpg,567,1008,Pinch,334,469,403,569
20200219_091031.jpg,567,1008,Jug,278,316,454,463
20200219_091031.jpg,567,1008,Jug,174,807,300,926
20200219_091037.jpg,567,1008,Pinch,213,429,254,473
20200219_091037.jpg,567,1008,Jug,95,141,233,257
20200219_091037.jpg,567,1008,Pinch,13,713,173,871
20200219_091046.jpg,567,1008,Sloper,103,210,330,443
20200219_091046.jpg,567,1008,Sloper,243,428,411,587
20200219_091046.jpg,567,1008,Jug,239,596,395,727
20200219_091054.jpg,567,1008,Sloper,279,353,497,565
20200219_091054.jpg,567,1008,Jug,151,111,305,236
20200219_091054.jpg,567,1008,Jug,148,901,313,1008
20200219_091054.jpg,567,1008,Sloper,522,109,567,189
20200219_091113.jpg,567,1008,Jug,45,1,269,197
20200219_091113.jpg,567,1008,Pinch,206,841,263,879
20200219_091127.jpg,567,1008,Pinch,158,253,231,295
20200219_091127.jpg,567,1008,Pinch,487,257,541,299
20200219_091127.jpg,567,1008,Pinch,417,516,462,548
20200219_091127.jpg,567,1008,Pinch,135,560,200,601
20200219_091127.jpg,567,1008,Pinch,363,701,409,739
20200219_091127.jpg,567,1008,Pinch,119,778,174,818
20200219_091127.jpg,567,1008,Pinch,108,934,153,977
20200219_091127.jpg,567,1008,Pinch,496,779,526,806
20200219_091127.jpg,567,1008,Pinch,478,852,510,878
20200219_091127.jpg,567,1008,Pinch,325,847,366,877
20200219_091127.jpg,567,1008,Pinch,318,925,352,956
20200219_091127.jpg,567,1008,Pinch,548,647,567,675
20200219_091127.jpg,567,1008,Jug,167,414,268,498
20200219_091127.jpg,567,1008,Jug,45,71,202,217
